name,total_case,total_deaths,total_recovered,active_cases,serious_critical
Belarus,"674,723","5,276 ","665,432","4,015",
Croatia,"654,202","11,619 ","617,482","25,101",326
Ireland,"623,623","5,788 ",,"133,622",109
Guatemala,"622,168","16,036 ","605,184",948,5
Azerbaijan,"604,480","8,088 ","576,264","20,128",
Sri Lanka,"572,902","14,614 ","545,051","13,237",
Costa Rica,"567,995","7,332 ","558,639","2,024",64
Denmark,"554,389","3,014 ",,"75,462",65
Bolivia,"553,108","19,317 ","504,507","29,284",220
Saudi Arabia,"550,240","8,853 ","539,477","1,910",29
Ecuador,"533,190","33,558 ","443,880","55,752",759
Myanmar,"526,661","19,183 ","503,107","4,371",
S. Korea,"523,088","4,293 ","433,564","85,231",876
Lithuania,"491,122","6,974 ","456,278","27,870",125
Panama,"480,781","7,386 ","470,285","3,110",14
Paraguay,"463,755","16,505 ","446,598",652,54
Slovenia,"439,952","5,408 ","412,023","22,521",243
Venezuela,"438,683","5,239 ","426,476","6,968",681
Palestine,"433,985","4,576 ","425,777","3,632",62
Kuwait,"413,711","2,466 ","410,898",347,3
Dominican Republic,"410,265","4,218 ","404,389","1,658",110
Uruguay,"402,509","6,145 ","394,078","2,286",13
Mongolia,"385,447","2,036 ","313,256","70,155",192
Honduras,"378,561","10,421 ","122,591","245,549",51
Libya,"378,105","5,553 ","363,780","8,772",
Ethiopia,"373,115","6,829 ","350,368","15,918",157
Moldova,"369,659","9,368 ","354,258","6,033",132
Egypt,"369,198","21,060 ","306,605","41,533",90
Armenia,"342,538","7,802 ","325,394","9,342",
Norway,"317,880","1,136 ","88,952","227,792",109
Oman,"304,714","4,113 ","300,096",505,2
Bosnia and Herzegovina,"280,980","12,918 ","192,218","75,844",
Bahrain,"278,065","1,394 ","276,355",316,1
Singapore,"273,362",794 ,"267,028","5,540",30
Latvia,"261,944","4,375 ","248,267","9,302",97
Kenya,"256,335","5,348 ","248,515","2,472",1
Qatar,"245,354",613 ,"242,336","2,405",9
Australia,"230,762","2,106 ","210,848","17,808",103
Estonia,"228,279","1,852 ","213,179","13,248",23
North Macedonia,"219,408","7,732 ","205,946","5,730",
Nigeria,"217,481","2,981 ","207,746","6,754",11
